BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY YOUTH JOB PROGRAM,LA COUNTY - TAY WOW CURRICULUM,0.00,,50000.00,0.00,0.00,50000.00,0.00,0.00,50000.00,,56E,22T877,22
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOUSING OPPOR FOR PERSON W/AID,HOUSING AND COMMUNITY INVESTMENT,247381.00,234224.28,198914.00,0.00,0.00,446295.00,0.00,0.00,212070.72,,569,43T143,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SOLID WASTE RESOURCES FUND,SOLID WASTE RESOURCES REVENUE BONDS 2013-B - PRINCIPAL,795000.00,,0.00,0.00,0.00,795000.00,0.00,0.00,795000.00,SPECIAL,508,50TU59,50
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,100000.00,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,SPECIAL,540,94T990,94
2021,CITY CLERK,HOLLYWOOD ENTERTAINMENT BID,RECOVERY COSTS,0.00,35650.46,35650.46,0.00,0.00,35650.46,0.00,0.00,0.00,,45J,140299,14
2021,POLICE,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,4336601.00,2890056.80,-1268.00,0.00,0.00,4335333.00,0.00,0.00,1445276.20,SALARIES AND BENEFITS,100,001070,70
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,GRIFFITH OBSERVATORY PROGRAM,0.00,,6477.87,0.00,0.00,6477.87,0.00,0.00,6477.87,,301,88014M,88
2021,MAYOR,FY19 UASI HOMELAND SECURITY GRANT FUND,FIRE,0.00,19061.00,894332.52,0.00,0.00,894332.52,0.00,0.00,875271.52,,63G,46T138,46
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,SYSTEMATIC CODE ENFORCEMNT FEE,TRANSLATION SERVICES,45575.00,13831.59,0.00,0.00,0.00,45575.00,31081.91,0.00,0.00,SPECIAL,41M,43T560,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,RUNYON CANYON PK -PK DEV,0.00,,27555.49,0.00,0.00,27555.49,0.00,0.00,27555.49,,205,88600L,88
2021,CITY CLERK,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,362089.00,314672.14,17238.50,65000.00,75000.00,369327.50,36795.91,0.00,17859.45,EXPENSES,100,003040,14
2021,OFFICE OF FINANCE,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,396538.00,227989.49,0.00,59812.00,200000.00,256350.00,0.00,0.00,28360.51,SALARIES AND BENEFITS,100,001070,39
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,MANCHESTER R.C. SPTSFLD LGT,0.00,,870.30,0.00,0.00,870.30,0.00,0.00,870.30,,205,88260L,88
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,ELECTION,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,804,645417,64
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,M L ADAPTIVE TRAINING GRANT,0.00,,62923.52,0.00,0.00,62923.52,0.00,0.00,62923.52,,205,88920F,88
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,REAL ESTATE & ASSET MGT,0.00,,100351.48,0.00,0.00,100351.48,0.00,0.00,100351.48,,302,89823M,89
2021,CITY ADMINISTRATIVE OFFICER,HHAP,HCID GENERAL FUND PROGRAM,0.00,12795744.00,12795744.00,0.00,0.00,12795744.00,0.00,0.00,0.00,,62Y,10T10A,10
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,SYSTEMATIC CODE ENFORCEMNT FEE,CONTROLLER,51106.00,51106.00,0.00,0.00,0.00,51106.00,0.00,0.00,0.00,,41M,43T126,43
2021,TRANSPORTATION,ATSAC TRUST,LIGHTSTONE DTLA LLC (CEN 16-44297),0.00,,80000.00,0.00,0.00,80000.00,0.00,0.00,80000.00,,484,94TU18,94
2021,CITY ATTORNEY,GENERAL FUND (GENERAL BUDGET),BAR DUES,242915.00,275298.00,0.00,115150.00,79594.98,278470.02,3172.02,0.00,0.00,EXPENSES,100,002060,12
2021,PUBLIC WORKS - STREET SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,84865979.00,89988550.82,12376034.40,3074051.00,650000.00,99666064.40,0.00,0.00,9677513.58,SALARIES AND BENEFITS,100,001010,86
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,O'MELVENY PK-PH III PK DEV,0.00,,693.12,0.00,0.00,693.12,0.00,0.00,693.12,,205,88TN9J,88
2021,AGING,OMBUDSMAN INITIATIVE PROGRAM F,STATE HEALTH FACILITIES CITATION PENALTIES ACT,0.00,99332.00,137954.00,0.00,0.00,137954.00,38622.00,0.00,0.00,,46V,02TC03,2
2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,1652932.00,1096842.62,0.00,0.00,0.00,1652932.00,0.00,0.00,556089.38,SALARIES AND BENEFITS,100,001070,8
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ENGINEERING SPECIAL SERVICE FD,UNAPPROPRIATED BALANCE,0.00,3309296.92,3309296.92,0.00,0.00,3309296.92,0.00,0.00,0.00,,682,50T158,50
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),JUSTICE FUND,1000000.00,,0.00,0.00,1000000.00,0.00,0.00,0.00,0.00,SPECIAL,100,000918,56
2021,HARBOR,COMMUNITY AESTHETIC MITIGATION,OTHER EXPENDITURES,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,73Y,421000,42
2021,MAYOR,SUPP LAW ENFORCEMENT SERVICES,UNAPPROPRIATED BALANCE,0.00,,573237.00,0.00,0.00,573237.00,0.00,0.00,573237.00,,667,46T158,46
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,SUBDIVISION FEES TR/QUIMBY FND,0.00,7680963.21,90944919.99,0.00,0.00,90944919.99,4443459.45,0.00,78820497.33,,302,89460K,89
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,ZIEGLER ESTATE/CASITA VERDE MT WASHINGTON PRESCHOOL,0.00,,1194345.00,0.00,0.00,1194345.00,0.00,0.00,1194345.00,,424,43T970,43
2021,WATER AND POWER,POWER REVENUE,INTERFUND OPERATING TRANSFERS,0.00,398637945.85,0.00,0.00,0.00,0.00,0.00,0.00,-398637945.85,,704,982000,98
2021,WATER AND POWER,PWR SYST RB 2001 SERI A BD SER,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J75,988210,98
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS GOLF SPE,GOLF OPERATION,0.00,20222435.05,31636889.10,0.00,0.00,31636889.10,1403665.98,3536.69,9994272.22,,52H,89G401,89
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,MACARTHUR PARK BAND SHELL,0.00,,420432.57,0.00,0.00,420432.57,0.00,0.00,420432.57,,205,88AM10,88
2021,FIRE,FIRE DEPT GRANT,FEMA USR 2020,0.00,,471107.00,0.00,0.00,471107.00,0.00,0.00,471107.00,,335,38020R,38
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),CITYWIDE ELEVATOR REPAIRS,400000.00,397077.04,0.00,0.00,0.00,400000.00,2922.60,0.00,0.36,SPECIAL,100,00T632,54
2021,TRANSPORTATION,DEPT TRANSPORTATION TRUST,TRANSPORTATION,0.00,175280.62,175280.62,0.00,0.00,175280.62,0.00,0.00,0.00,,840,94T194,94
2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,5000.00,,0.00,0.00,0.00,5000.00,0.00,0.00,5000.00,EXPENSES,100,006020,13
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOUSING OPPOR FOR PERSON W/AID,HOPWA PERMANENT HOUSING PLACEMENT,0.00,249861.60,743496.00,0.00,0.00,743496.00,493634.40,0.00,0.00,,569,43T409,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,HOLLENBECK PARK,0.00,,250000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,,205,88LMB9,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,BUREAU OF STREET SERVICES,0.00,,1243965.00,0.00,0.00,1243965.00,0.00,0.00,1243965.00,,424,43T186,43
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),NORTH HOLLYWOOD FILM FESTIVAL,22500.00,,0.00,0.00,0.00,22500.00,0.00,0.00,22500.00,SPECIAL,100,000934,56
2021,PUBLIC WORKS - STREET LIGHTING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,831000.00,1351036.71,1565634.53,0.00,104655.00,2291979.53,0.00,0.00,940942.82,SALARIES AND BENEFITS,100,001090,84
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VIRGIL VILLAGE PARK-NBG,0.00,,4928.54,0.00,0.00,4928.54,0.00,0.00,4928.54,,205,88VC04,88
2021,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREVENTION,0.00,33586.00,48302.00,0.00,0.00,48302.00,14716.00,0.00,0.00,,564,02TB02,2
2021,CITY ATTORNEY,LEGAL FEES REIMBURSEMENT SPECIAL FUND,FRIENDS OF MELROSE,0.00,25755.00,77097.60,0.00,0.00,77097.60,51342.60,0.00,0.00,,57H,123A9T,12
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,ANGELS WALK IMP-EL PUEBLO& O/S,0.00,,75000.00,0.00,0.00,75000.00,0.00,0.00,75000.00,,205,88FA01,88
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VENICE BEACH PARK DEV,0.00,,1506.78,0.00,0.00,1506.78,0.00,0.00,1506.78,,205,88910L,88
2021,COUNCIL,STATE AB1290 CITY FUND,POLICE,0.00,65000.00,65000.00,0.00,0.00,65000.00,0.00,0.00,0.00,,53P,28T170,28
2021,POLICE,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,23245175.00,14557242.50,54000.00,2025550.00,2682615.00,22642110.00,3885436.02,133086.92,4015842.12,EXPENSES,100,006010,70
2021,WATER AND POWER,PWR SYST RB COMM PAPER BD SVC,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J88,988210,98
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,HERMON DOG PARK,0.00,,2008.06,0.00,0.00,2008.06,0.00,0.00,2008.06,,205,88025S,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CITYWIDE RECYCLING TRUST FUND,RECYCLING INCENTIVES,8209468.00,,0.00,0.00,0.00,8209468.00,0.00,0.00,8209468.00,SPECIAL,46D,50TTRP,50
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - BUREAU OF SANITATION,0.00,453332.00,0.00,0.00,0.00,0.00,0.00,0.00,-453332.00,,101,621082,62
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,G C ROBINSON BEQUEST-TRAVEL TO,0.00,,11193.22,0.00,0.00,11193.22,0.00,0.00,11193.22,,205,88560F,88
2021,MAYOR,GENERAL FUND (GENERAL BUDGET),GRANT REIMBURSED,0.00,2266183.72,4147333.94,38641.00,38641.00,4147333.94,0.00,0.00,1881150.22,SALARIES AND BENEFITS,100,001020,46
2021,CITY PLANNING,PLANNING CASE PROCESSING SPREV,GENERAL SERVICES,0.00,2412.63,2412.63,0.00,0.00,2412.63,0.00,0.00,0.00,,52D,68140T,68
2021,POLICE,GENERAL FUND (GENERAL BUDGET),INSTITUTIONAL SUPPLIES,1257196.00,522951.73,0.00,0.00,57000.00,1200196.00,117513.72,1598.00,552284.84,EXPENSES,100,003110,70
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CAPITAL FUND,INTEREST-COMMERCIAL PAPER,3000000.00,,0.00,0.00,0.00,3000000.00,0.00,0.00,3000000.00,,761,502000,50
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,ALPINE REC CTR,0.00,,148038.22,0.00,0.00,148038.22,0.00,0.00,148038.22,,302,89990K,89
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,PUBLIC WORKS TRUST,ENGINEERING SPECIAL SERVICES,0.00,7000000.00,7000000.00,0.00,0.00,7000000.00,0.00,0.00,0.00,,834,50682T,50
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,WILMINGTON RC,0.00,,984.07,0.00,0.00,984.07,0.00,0.00,984.07,,205,88HD26,88
2021,GENERAL SERVICES,MICLA LEASE REV COM PAPER NTES,PUB SAFETY FACILITIES - FIRE DEPT FACILITIES,0.00,79034.35,480000.00,0.00,0.00,480000.00,400751.78,0.00,213.87,,298,40T34M,40
2021,PUBLIC ACCOUNTABILITY,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,1635200.00,805.02,0.00,0.00,0.00,1635200.00,79.19,0.00,1634315.79,EXPENSES,100,003040,11
2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,19020-19040 VANOWEN STREET,0.00,1696882.68,3285719.68,0.00,0.00,3285719.68,1149914.00,343445.17,95477.83,,63M,10T614,10
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,RET/PEN BENEFITS & REFUNDS,272000000.00,,0.00,0.00,0.00,272000000.00,0.00,0.00,272000000.00,,804,649710,64
2021,WATER AND POWER,PWR SYST RB 2008 A BD SER FUND,RETIREMENT OF PRINCIPAL,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J2B,988110,98
2021,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,6000.00,5500.00,0.00,0.00,0.00,6000.00,0.00,0.00,500.00,EXPENSES,100,003310,33
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),CITYWIDE NUISANCE ABATEMENT,420000.00,,-311092.33,0.00,0.00,108907.67,0.00,0.00,108907.67,SPECIAL,100,00T068,54
2021,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,269025.00,,-8071.00,0.00,0.00,260954.00,0.00,0.00,260954.00,,596,94T194,94
2021,MAYOR,FY17 SHSP GRANT,FIRE,0.00,,361953.31,0.00,0.00,361953.31,0.00,0.00,361953.31,,60S,46T138,46
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,DOT-PROJECT MANAGEMENT REIMB,0.00,,2965.87,0.00,0.00,2965.87,0.00,0.00,2965.87,,205,88TN3G,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP BIOSOLIDS TRUCK LOADING FAC FAN & DUCTING INSTALLATION,269000.00,,-269000.00,0.00,0.00,0.00,0.00,0.00,0.00,,70W,50TDAO,50
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VENICE RC RESTROOM BLDG,0.00,,334.36,0.00,0.00,334.36,0.00,0.00,334.36,,205,88TN0J,88
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,PUEBLO DEL RIO OUTDOOR IMPROVEMENTS,0.00,,282197.62,0.00,0.00,282197.62,0.00,0.00,282197.62,,205,88HMA4,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,ODOR CTR HUMBOLDT CARBON SCRB FAC UPGRADE,1951000.00,,0.00,0.00,0.00,1951000.00,0.00,0.00,1951000.00,,70W,50TAHC,50
2021,OFFICE OF FINANCE,CODE COMPLIANCE FUND,FINANCE,52445.00,48074.62,0.00,0.00,0.00,52445.00,0.00,0.00,4370.38,,55R,39T139,39
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MICLA LEASE REV COM PAPER NTES,FIRE STATION 4 - FACADE IMPROVEMENTS,0.00,,785000.00,0.00,0.00,785000.00,0.00,0.00,785000.00,,298,50TFSF,50
2021,POLICE,POLICE DEPT GRANT,2020-22 INTELLECTUAL PROPERTY ENFORCEMENT GRANT,0.00,,72000.00,0.00,0.00,72000.00,0.00,0.00,72000.00,,339,70T301,70
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,MAINTENANCE YARD-N HOLLYWOOD FACILITY,4500000.00,2446062.18,-2053937.82,0.00,0.00,2446062.18,0.00,0.00,0.00,,70W,50TAHD,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSRB DEBT SERVICE FUND, REFUNDING SERIES 2015-C",RETIREMENT OF PRINCIPAL,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W83,508110,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,DOMESTIC VIOLENCE CRISIS HSNG SRVCS,0.00,,250000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,,424,43T951,43
2021,WATER AND POWER,"ELEC PL REVBDS ISS94,RESERVE",INTEREST EXPENSE,0.00,172212.50,0.00,0.00,0.00,0.00,0.00,0.00,-172212.50,,J15,988210,98
2021,CITY ETHICS COMMISSION,CITY ETHICS COMMISSION FUND,INFORMATION TECHNOLOGY AGENCY,0.00,117.05,117.05,0.00,0.00,117.05,0.00,0.00,0.00,,534,17T132,17
2021,PENSION,F&P PEN EXCESS BENEFIT PLAN FD,FIRE & POLICE EXCESS BENEFITS,2399556.00,1604544.37,181392.47,0.00,0.00,2580948.47,0.00,0.00,976404.10,,918,649700,64
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VAR PARK DEVELOPMENT,0.00,,386764.95,0.00,0.00,386764.95,0.00,0.00,386764.95,,205,88360L,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP TRUCK LOADING ODOR CNTL FAC ENHANCEMENTS,150000.00,,0.00,0.00,0.00,150000.00,0.00,0.00,150000.00,,70W,50TDH6,50
2021,INFORMATION TECHNOLOGY AGENCY,GENERAL FUND (GENERAL BUDGET),HIRING HALL CONSTRUCTION,0.00,,93000.00,0.00,93000.00,0.00,0.00,0.00,0.00,SALARIES AND BENEFITS,100,001101,32
2021,ZOO,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,201164.00,62532.63,-110000.00,0.00,0.00,91164.00,0.00,0.00,28631.37,SALARIES AND BENEFITS,100,001090,87
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY YOUTH JOB PROGRAM,LA COUNTY - CRM,0.00,,23000.00,0.00,0.00,23000.00,0.00,0.00,23000.00,,56E,22T876,22
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),MEDICARE CONTRIBUTIONS,61237688.00,48525401.96,0.00,396622.00,3293244.00,58341066.00,0.00,0.00,9815664.04,SPECIAL,100,000510,56
2021,MAYOR,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,6371148.00,9034858.06,715789.82,3790543.00,0.00,10877480.82,0.00,0.00,1842622.76,SALARIES AND BENEFITS,100,001010,46
2021,CITY ATTORNEY,CITY ATTY CONSUMER PROTEC PROC,CITY ATTORNEY,3222251.00,3222251.00,0.00,0.00,0.00,3222251.00,0.00,0.00,0.00,,550,12T112,12
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOMELESS EMERGENCY AID PROGRAM GRANT FUND,WINTER SHELTER PROGRAM (GLASSELL PARK AND BRYANT TEMPLE),0.00,,157840.00,0.00,0.00,157840.00,157840.00,0.00,0.00,,60P,43TA65,43
2021,TRANSPORTATION,DEPARTMENT OF TRANSPORTATION EXPEDITED FEE TRUST FUND,REIMBURSEMENT OF GENERAL FUND COSTS,388468.00,,0.00,0.00,0.00,388468.00,0.00,0.00,388468.00,,57P,94T299,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SOLID WASTE RESOURCES FUND,DEBT ADMINISTRATION,12000.00,7790.00,0.00,0.00,0.00,12000.00,0.00,0.00,4210.00,SPECIAL,508,50T0DA,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST LIGHTING MAINTENANCE ASSESS,TREE TRIMMING,500000.00,,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,,347,50T900,50
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),MAYO ST(985) RETAINING WALL REPLACEMENT,914000.00,,0.00,0.00,0.00,914000.00,0.00,0.00,914000.00,SPECIAL,100,00T751,54
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 5 COUNCIL FEE SUBSIDY ACCT,32700.00,12202.24,62671.72,0.00,25000.00,70371.72,0.00,0.00,58169.48,SPECIAL,100,000862,56
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSRB DEBT SERVICE FUND, REFUNDING SERIES 2015-D",RETIREMENT OF PRINCIPAL,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W84,508110,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,BURWOOD S/O FIGUEROA,0.00,,1000000.00,0.00,0.00,1000000.00,0.00,219710.00,780290.00,SPECIAL,59V,50TVFU,50
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,91760.00,31846.49,160000.00,0.00,0.00,251760.00,37581.58,0.00,182331.93,EXPENSES,100,006020,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,NEIGHBORHOOD STABIL PROG3-WSRA,NST-CRA/LA PARCEL,0.00,,1200000.00,0.00,0.00,1200000.00,0.00,0.00,1200000.00,,53T,43T909,43
2021,POLICE,POLICE DEPT GRANT,POLICE,0.00,4105798.35,9533053.81,0.00,0.00,9533053.81,0.00,0.00,5427255.46,,339,70T170,70
2021,CULTURAL AFFAIRS,ARTS AND CULTURAL FACIL & SERV,POLICE,750000.00,687500.00,-22500.00,0.00,0.00,727500.00,0.00,0.00,40000.00,,480,30T170,30
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,SEPULVDA BLVD-89TH ST TO LA TIJERA BLVD,1153500.00,,0.00,0.00,0.00,1153500.00,0.00,0.00,1153500.00,,59V,50TVER,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST LIGHTING MAINTENANCE ASSESS,OFFICIAL NOTICES,10000.00,,0.00,0.00,0.00,10000.00,0.00,0.00,10000.00,SPECIAL,347,50T454,50
2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,GENERAL SERVICES,0.00,329472.24,4981984.91,0.00,0.00,4981984.91,0.00,0.00,4652512.67,,43K,10T140,10
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,EASTERN AVE MULTI-MODAL TRANSPORTATION IMPROVEMENT- LAMIP102,0.00,,1800000.00,0.00,0.00,1800000.00,0.00,0.00,1800000.00,,655,94TT2F,94
2021,WATER AND POWER,PWR SYST RB 2011 A BD SER FUND,RETIREMENT OF PRINCIPAL,0.00,80630000.00,0.00,0.00,0.00,0.00,0.00,0.00,-80630000.00,,J5S,988110,98
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,ELYSIAN PARK-WATER SYS 1 & 6,0.00,,10652.21,0.00,0.00,10652.21,0.00,0.00,10652.21,,205,88TN5J,88
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,UNIVERSAL FARE SYSTEM,250000.00,,0.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,385,94T413,94
2021,WATER AND POWER,PWR SYST RB 2009 A BD SER FUND,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J3B,988210,98
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,FEDERAL EMERGENCY SHELTER GRNT,LAHSA HOMELESS EMERGENCY SHELTER SERVICES,0.00,,1056939.00,0.00,0.00,1056939.00,1056939.00,0.00,0.00,,517,43T354,43
2021,ZOO,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,2509875.00,1402288.95,-481198.00,0.00,17500.00,2011177.00,0.00,0.00,608888.05,SALARIES AND BENEFITS,100,001070,87
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,HOLLEIGH BERNSON MEMORIAL PARK,0.00,,17000.00,0.00,0.00,17000.00,0.00,0.00,17000.00,,205,88CD01,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,SYSTEMATIC CODE ENFORCEMNT FEE,RENT AND CODE OUTREACH PROGRAM,742500.00,498663.00,0.00,0.00,0.00,742500.00,210870.00,0.00,0.00,SPECIAL,41M,43T228,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,RENT STABILIZATION TRUST,TRANSLATION SERVICES,10180.00,2088.90,0.00,0.00,0.00,10180.00,8077.60,0.00,0.00,SPECIAL,440,43T560,43
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),ABH BMD CONTINGENCY,0.00,,100000.00,0.00,0.00,100000.00,0.00,0.00,100000.00,SPECIAL,100,00T756,54
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,RAMONA GARDENS-ALVAREZPK REDE,0.00,,26600.92,0.00,0.00,26600.92,0.00,0.00,26600.92,,205,88004R,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SOLID WASTE RESOURCES REV BONDS SERIES 2018-A ACQUISITION FD,GENERAL SERVICES,0.00,5532.76,5532.76,0.00,0.00,5532.76,0.00,0.00,0.00,,60M,50T140,50
2021,POLICE,US DEPT OF JUSTICE ASSET FORFE,COMMUNITY SURVEY,250000.00,,0.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,44D,70T541,70
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VALLEY PLAZA PARK RECREATION,0.00,,28885.11,0.00,0.00,28885.11,0.00,0.00,28885.11,,205,88YM11,88
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,SENIOR CITIZEN SERVICE PROVIDERS,0.00,,97915.31,0.00,0.00,97915.31,0.00,0.00,97915.31,,302,89706H,89
